,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Fuels - Solid,,,,,,,,,,,,,,,,,,,,,,,,,
,,Municipal Solid Waste, 9.95 , 90.70 , 32 , 4.2 , 902 , 318 , 42 ,,,,,,,,,,,,,,,,,,
,,Petroleum Coke (Solid), 30.00 , 102.41 , 32 , 4.2 ," 3,072 ", 960 , 126 ,,,,,,,,,,,,,,,,,,
,,Plastics, 38.00 , 75.00 , 32 , 4.2 ," 2,850 "," 1,216 ", 160 ,,,,,,,,,,,,,,,,,,
,,Tires, 28.00 , 85.97 , 32 , 4.2 ," 2,407 ", 896 , 118 ,,,,,,,,,,,,,,,,,,
,,Biomass Fuels - Solid,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agricultural Byproducts, 8.25 , 118.17 , 32 , 4.2 , 975 , 264 , 35 ,,,,,,,,,,,,,,,,,,
,,Peat, 8.00 , 111.84 , 32 , 4.2 , 895 , 256 , 34 ,,,,,,,,,,,,,,,,,,
,,Solid Byproducts, 10.39 , 105.51 , 32 , 4.2 ," 1,096 ", 332 , 44 ,,,,,,,,,,,,,,,,,,
,,Wood and Wood Residuals, 17.48 , 93.80 , 7.2 , 3.6 ," 1,640 ", 126 , 63 ,,,,,,,,,,,,,,,,,,
,,,mmBtu per scf,kg CO2 per mmBtu,g CH4 per mmBtu,g N2O per mmBtu,kg CO2 per scf,g CH4 per scf,g N2O per scf,,,,,,,,,,,,,,,,,,
,,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,
,,Natural Gas, 0.001026 , 53.06 , 1.0 , 0.10 , 0.05444 , 0.00103 , 0.00010 ,,,,,,,,,,,,,,,,,,
,, Other Fuels - Gaseous ,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blast Furnace Gas, 0.000092 , 274.32 , 0.022 , 0.10 , 0.02524 , 0.000002 , 0.000009 ,,,,,,,,,,,,,,,,,,
,,Coke Oven Gas, 0.000599 , 46.85 , 0.48 , 0.10 , 0.02806 , 0.000288 , 0.000060 ,,,,,,,,,,,,,,,,,,
,,Fuel Gas, 0.001388 , 59.00 , 3.0 , 0.60 , 0.08189 , 0.004164 , 0.000833 ,,,,,,,,,,,,,,,,,,
,,Propane Gas, 0.002516 , 61.46 , 3.0 , 0.60 , 0.15463 , 0.007548 , 0.001510 ,,,,,,,,,,,,,,,,,,
,,Biomass Fuels - Gaseous,,,,,,,,,,,,,,,,,,,,,,,,,
,,Landfill Gas, 0.000485 , 52.07 , 3.2 , 0.63 , 0.025254 , 0.001552 , 0.000306 ,,,,,,,,,,,,,,,,,,
,,Other Biomass Gases, 0.000655 , 52.07 , 3.2 , 0.63 , 0.034106 , 0.002096 , 0.000413 ,,,,,,,,,,,,,,,,,,
,,,mmBtu per gallon,kg CO2 per mmBtu,g CH4 per mmBtu,g N2O per mmBtu,kg CO2 per gallon,g CH4 per gallon,g N2O per gallon,,,,,,,,,,,,,,,,,,
,, Petroleum Products ,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asphalt and Road Oil, 0.158 , 75.36 , 3.0 , 0.60 , 11.91 , 0.47 , 0.09 ,,,,,,,,,,,,,,,,,,
,,Aviation Gasoline, 0.120 , 69.25 , 3.0 , 0.60 , 8.31 , 0.36 , 0.07 ,,,,,,,,,,,,,,,,,,
,,Butane, 0.103 , 64.77 , 3.0 , 0.60 , 6.67 , 0.31 , 0.06 ,,,,,,,,,,,,,,,,,,
,,Butylene, 0.105 , 68.72 , 3.0 , 0.60 , 7.22 , 0.32 , 0.06 ,,,,,,,,,,,,,,,,,,
,,Crude Oil, 0.138 , 74.54 , 3.0 , 0.60 , 10.29 , 0.41 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Distillate Fuel Oil No. 1, 0.139 , 73.25 , 3.0 , 0.60 , 10.18 , 0.42 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Distillate Fuel Oil No. 2, 0.138 , 73.96 , 3.0 , 0.60 , 10.21 , 0.41 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Distillate Fuel Oil No. 4, 0.146 , 75.04 , 3.0 , 0.60 , 10.96 , 0.44 , 0.09 ,,,,,,,,,,,,,,,,,,
,,Ethane, 0.068 , 59.60 , 3.0 , 0.60 , 4.05 , 0.20 , 0.04 ,,,,,,,,,,,,,,,,,,
,,Ethylene, 0.058 , 65.96 , 3.0 , 0.60 , 3.83 , 0.17 , 0.03 ,,,,,,,,,,,,,,,,,,
,,Heavy Gas Oils, 0.148 , 74.92 , 3.0 , 0.60 , 11.09 , 0.44 , 0.09 ,,,,,,,,,,,,,,,,,,
,,Isobutane, 0.099 , 64.94 , 3.0 , 0.60 , 6.43 , 0.30 , 0.06 ,,,,,,,,,,,,,,,,,,
,,Isobutylene, 0.103 , 68.86 , 3.0 , 0.60 , 7.09 , 0.31 , 0.06 ,,,,,,,,,,,,,,,,,,
,,Kerosene, 0.135 , 75.20 , 3.0 , 0.60 , 10.15 , 0.41 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Kerosene-Type Jet Fuel, 0.135 , 72.22 , 3.0 , 0.60 , 9.75 , 0.41 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Liquefied Petroleum Gases (LPG), 0.092 , 61.71 , 3.0 , 0.60 , 5.68 , 0.28 , 0.06 ,,,,,,,,,,,,,,,,,,
,,Lubricants, 0.144 , 74.27 , 3.0 , 0.60 , 10.69 , 0.43 , 0.09 ,,,,,,,,,,,,,,,,,,
,,Motor Gasoline, 0.125 , 70.22 , 3.0 , 0.60 , 8.78 , 0.38 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Naphtha (<401 deg F), 0.125 , 68.02 , 3.0 , 0.60 , 8.50 , 0.38 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Natural Gasoline, 0.110 , 66.88 , 3.0 , 0.60 , 7.36 , 0.33 , 0.07 ,,,,,,,,,,,,,,,,,,
,,Other Oil (>401 deg F), 0.139 , 76.22 , 3.0 , 0.60 , 10.59 , 0.42 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Pentanes Plus, 0.110 , 70.02 , 3.0 , 0.60 , 7.70 , 0.33 , 0.07 ,,,,,,,,,,,,,,,,,,
,,Petrochemical Feedstocks, 0.125 , 71.02 , 3.0 , 0.60 , 8.88 , 0.38 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Propane, 0.091 , 62.87 , 3.0 , 0.60 , 5.72 , 0.27 , 0.05 ,,,,,,,,,,,,,,,,,,
,,Propylene, 0.091 , 67.77 , 3.0 , 0.60 , 6.17 , 0.27 , 0.05 ,,,,,,,,,,,,,,,,,,
,,Residual Fuel Oil No. 5, 0.140 , 72.93 , 3.0 , 0.60 , 10.21 , 0.42 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Residual Fuel Oil No. 6, 0.150 , 75.10 , 3.0 , 0.60 , 11.27 , 0.45 , 0.09 ,,,,,,,,,,,,,,,,,,
,,Special Naphtha, 0.125 , 72.34 , 3.0 , 0.60 , 9.04 , 0.38 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Unfinished Oils, 0.139 , 74.54 , 3.0 , 0.60 , 10.36 , 0.42 , 0.08 ,,,,,,,,,,,,,,,,,,
,,Used Oil, 0.138 , 74.00 , 3.0 , 0.60 , 10.21 , 0.41 , 0.08 ,,,,,,,,,,,,,,,,,,
,, Biomass Fuels - Liquid ,,,,,,,,,,,,,,,,,,,,,,,,,
,,Biodiesel (100%), 0.128 , 73.84 , 1.1 , 0.11 , 9.45 , 0.14 , 0.01 ,,,,,,,,,,,,,,,,,,
,,Ethanol (100%), 0.084 , 68.44 , 1.1 , 0.11 , 5.75 , 0.09 , 0.01 ,,,,,,,,,,,,,,,,,,
,,Rendered Animal Fat, 0.125 , 71.06 , 1.1 , 0.11 , 8.88 , 0.14 , 0.01 ,,,,,,,,,,,,,,,,,,
,,Vegetable Oil, 0.120 , 81.55 , 1.1 , 0.11 , 9.79 , 0.13 , 0.01 ,,,,,,,,,,,,,,,,,,
,," Biomass Fuels - 
Kraft Pulping Liquor, by Wood Furnish ",,,,,,,,,,,,,,,,,,,,,,,,,
,,North American Softwood,, 94.4 , 1.9 , 0.42 ,,,,,,,,,,,,,,,,,,,,,
,,North American Hardwood,, 93.7 , 1.9 , 0.42 ,,,,,,,,,,,,,,,,,,,,,
,,Bagasse,, 95.5 , 1.9 , 0.42 ,,,,,,,,,,,,,,,,,,,,,
,,Bamboo,, 93.7 , 1.9 , 0.42 ,,,,,,,,,,,,,,,,,,,,,
,,Straw,, 95.1 , 1.9 , 0.42 ,,,,,,,,,,,,,,,,,,,,,
,,Source:,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Federal Register EPA; 40 CFR Part 98; e-CFR, (see link below). Table C-1 and Table C-2 (78 FR 71950, Nov. 29, 2013, as amended at 81 FR 89252, Dec. 9, 2016), Table AA-1 (78 FR 71965, Nov. 29, 2013).  ",,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-98,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Emission factors are per unit of heat content using higher heating values (HHV). If heat content is available from the fuel supplier, it is preferable to use that value. If not, default heat contents are provided.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"All CO2 emission factors assume that 100 percent of the carbon content of the fuel is oxidized to CO2, as is recommended by the Intergovernmental Panel on Climate Change (IPCC). ",,,,,,,,,,,,,,,,,,,,,,,,,
,,"The CH4 and N2O emission factors provided represent emissions in terms of fuel type and by end-use sector (i.e., residential, commercial, industrial, electricity generation).",,,,,,,,,,,,,,,,,,,,,,,,,
,,Please see the Center for Corporate Climate Leadership's guidance document on Direct Emissions from Stationary Combustion Sources for guidance on how to include biomass fuels in an organization's greenhouse gas inventory.,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.epa.gov/sites/default/files/2020-12/documents/stationaryemissions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
,,The factors represented in the table above represent combustion emissions only and do not represent upstream emissions.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2,   Mobile Combustion CO2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuel Type,kg CO2 per unit,Unit,,,,,,,,,,,,,,,,,,,,,,,
,,Aviation Gasoline, 8.31 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Biodiesel (100%), 9.45 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Compressed Natural Gas (CNG), 0.05444 ,scf,,,,,,,,,,,,,,,,,,,,,,,
,,Diesel Fuel, 10.21 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Ethanol (100%), 5.75 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Kerosene-Type Jet Fuel, 9.75 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Liquefied Natural Gas (LNG), 4.50 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Liquefied Petroleum Gases (LPG), 5.68 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Motor Gasoline, 8.78 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Residual Fuel Oil, 11.27 ,gallon,,,,,,,,,,,,,,,,,,,,,,,
,,Source:,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Federal Register EPA; 40 CFR Part 98; e-CFR, (see link below). Table C-1 (78 FR 71950, Nov. 29, 2013, as amended at 81 FR 89252, Dec. 9, 2016)",,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-98,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,
,,"LNG: The factor was developed based on the CO2 factor (kg CO2 per mmBtu) for Natural Gas from Table 1 and the higher heating value (HHV) LNG fuel density factor (btu/gallon) from the R&D GREET1 2024 Model, Argonne National Laboratory published January 10, 2025 
(Fuel_Specs worksheet).",,,,,,,,,,,,,,,,,,,,,,,,,
,,More information on GREET can be found here: https://greet.anl.gov/,,,,,,,,,,,,,,,,,,,,,,,,,
,,Please see the Center for Corporate Climate Leadership's guidance document on Direct Emissions from Stationary Combustion Sources for guidance on how to include biomass fuels in an organization's greenhouse gas inventory.,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.epa.gov/sites/default/files/2020-12/documents/stationaryemissions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
,,The factors represented in the table above represent combustion emissions only (tank-to-wheel) and do not represent upstream emissions or well-to-wheel emissions.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,   Mobile Combustion CH4 and N2O for On-Road Gasoline Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vehicle Type,Model Year,"CH4 Factor 
(g CH4 / vehicle-mile)","N2O Factor 
(g N2O / vehicle-mile)",,,,,,,,,,,,,,,,,,,,,,
,,Gasoline Passenger Cars,1973-1974, 0.1696 , 0.0197 ,,,,,,,,,,,,,,,,,,,,,,
,,,1975, 0.1423 , 0.0443 ,,,,,,,,,,,,,,,,,,,,,,
,,,1976-1977, 0.1406 , 0.0458 ,,,,,,,,,,,,,,,,,,,,,,
,,,1978-1979, 0.1389 , 0.0473 ,,,,,,,,,,,,,,,,,,,,,,
,,,1980, 0.1326 , 0.0499 ,,,,,,,,,,,,,,,,,,,,,,
,,,1981, 0.0802 , 0.0626 ,,,,,,,,,,,,,,,,,,,,,,
,,,1982, 0.0795 , 0.0627 ,,,,,,,,,,,,,,,,,,,,,,
,,,1983, 0.0782 , 0.0630 ,,,,,,,,,,,,,,,,,,,,,,
,,,1984-1993, 0.0704 , 0.0647 ,,,,,,,,,,,,,,,,,,,,,,
,,,1994, 0.0617 , 0.0603 ,,,,,,,,,,,,,,,,,,,,,,
,,,1995, 0.0531 , 0.0560 ,,,,,,,,,,,,,,,,,,,,,,
,,,1996, 0.0434 , 0.0503 ,,,,,,,,,,,,,,,,,,,,,,
,,,1997, 0.0337 , 0.0446 ,,,,,,,,,,,,,,,,,,,,,,
,,,1998, 0.0240 , 0.0389 ,,,,,,,,,,,,,,,,,,,,,,
,,,1999, 0.0215 , 0.0355 ,,,,,,,,,,,,,,,,,,,,,,
,,,2000, 0.0175 , 0.0304 ,,,,,,,,,,,,,,,,,,,,,,
,,,2001, 0.0105 , 0.0212 ,,,,,,,,,,,,,,,,,,,,,,
,,,2002, 0.0102 , 0.0207 ,,,,,,,,,,,,,,,,,,,,,,
,,,2003, 0.0095 , 0.0181 ,,,,,,,,,,,,,,,,,,,,,,
,,,2004, 0.0078 , 0.0085 ,,,,,,,,,,,,,,,,,,,,,,
,,,2005, 0.0075 , 0.0067 ,,,,,,,,,,,,,,,,,,,,,,
,,,2006, 0.0076 , 0.0075 ,,,,,,,,,,,,,,,,,,,,,,
,,,2007, 0.0072 , 0.0052 ,,,,,,,,,,,,,,,,,,,,,,
,,,2008, 0.0072 , 0.0049 ,,,,,,,,,,,,,,,,,,,,,,
,,,2009, 0.0071 , 0.0046 ,,,,,,,,,,,,,,,,,,,,,,
,,,2010, 0.0071 , 0.0046 ,,,,,,,,,,,,,,,,,,,,,,
,,,2011, 0.0071 , 0.0046 ,,,,,,,,,,,,,,,,,,,,,,
,,,2012, 0.0071 , 0.0046 ,,,,,,,,,,,,,,,,,,,,,,
,,,2013, 0.0071 , 0.0046 ,,,,,,,,,,,,,,,,,,,,,,
,,,2014, 0.0071 , 0.0046 ,,,,,,,,,,,,,,,,,,,,,,
,,,2015, 0.0068 , 0.0042 ,,,,,,,,,,,,,,,,,,,,,,
,,,2016, 0.0065 , 0.0038 ,,,,,,,,,,,,,,,,,,,,,,
,,,2017, 0.0054 , 0.0018 ,,,,,,,,,,,,,,,,,,,,,,
,,,2018, 0.0052 , 0.0016 ,,,,,,,,,,,,,,,,,,,,,,
,,,2019, 0.0051 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2020, 0.0050 , 0.0014 ,,,,,,,,,,,,,,,,,,,,,,
,,,2021, 0.0051 , 0.0014 ,,,,,,,,,,,,,,,,,,,,,,
,,,2022, 0.0050 , 0.0014 ,,,,,,,,,,,,,,,,,,,,,,
,,Gasoline Light-Duty Trucks,1973-1974, 0.1908 , 0.0218 ,,,,,,,,,,,,,,,,,,,,,,
,,"(Vans, Pickup Trucks, SUVs)",1975, 0.1634 , 0.0513 ,,,,,,,,,,,,,,,,,,,,,,
,,,1976, 0.1594 , 0.0555 ,,,,,,,,,,,,,,,,,,,,,,
,,,1977-1978, 0.1614 , 0.0534 ,,,,,,,,,,,,,,,,,,,,,,
,,,1979-1980, 0.1594 , 0.0555 ,,,,,,,,,,,,,,,,,,,,,,
,,,1981, 0.1479 , 0.0660 ,,,,,,,,,,,,,,,,,,,,,,
,,,1982, 0.1442 , 0.0681 ,,,,,,,,,,,,,,,,,,,,,,
,,,1983, 0.1368 , 0.0722 ,,,,,,,,,,,,,,,,,,,,,,
,,,1984, 0.1294 , 0.0764 ,,,,,,,,,,,,,,,,,,,,,,
,,,1985, 0.1220 , 0.0806 ,,,,,,,,,,,,,,,,,,,,,,
,,,1986, 0.1146 , 0.0848 ,,,,,,,,,,,,,,,,,,,,,,
,,,1987-1993, 0.0813 , 0.1035 ,,,,,,,,,,,,,,,,,,,,,,
,,,1994, 0.0646 , 0.0982 ,,,,,,,,,,,,,,,,,,,,,,
,,,1995, 0.0517 , 0.0908 ,,,,,,,,,,,,,,,,,,,,,,
,,,1996, 0.0452 , 0.0871 ,,,,,,,,,,,,,,,,,,,,,,
,,,1997, 0.0452 , 0.0871 ,,,,,,,,,,,,,,,,,,,,,,
,,,1998, 0.0412 , 0.0787 ,,,,,,,,,,,,,,,,,,,,,,
,,,1999, 0.0333 , 0.0618 ,,,,,,,,,,,,,,,,,,,,,,
,,,2000, 0.0340 , 0.0631 ,,,,,,,,,,,,,,,,,,,,,,
,,,2001, 0.0221 , 0.0379 ,,,,,,,,,,,,,,,,,,,,,,
,,,2002, 0.0242 , 0.0424 ,,,,,,,,,,,,,,,,,,,,,,
,,,2003, 0.0221 , 0.0373 ,,,,,,,,,,,,,,,,,,,,,,
,,,2004, 0.0115 , 0.0088 ,,,,,,,,,,,,,,,,,,,,,,
,,,2005, 0.0105 , 0.0064 ,,,,,,,,,,,,,,,,,,,,,,
,,,2006, 0.0108 , 0.0080 ,,,,,,,,,,,,,,,,,,,,,,
,,,2007, 0.0103 , 0.0061 ,,,,,,,,,,,,,,,,,,,,,,
,,,2008, 0.0095 , 0.0036 ,,,,,,,,,,,,,,,,,,,,,,
,,,2009, 0.0095 , 0.0036 ,,,,,,,,,,,,,,,,,,,,,,
,,,2010, 0.0095 , 0.0035 ,,,,,,,,,,,,,,,,,,,,,,
,,,2011, 0.0096 , 0.0034 ,,,,,,,,,,,,,,,,,,,,,,
,,,2012, 0.0096 , 0.0033 ,,,,,,,,,,,,,,,,,,,,,,
,,,2013, 0.0095 , 0.0035 ,,,,,,,,,,,,,,,,,,,,,,
,,,2014, 0.0095 , 0.0033 ,,,,,,,,,,,,,,,,,,,,,,
,,,2015, 0.0094 , 0.0031 ,,,,,,,,,,,,,,,,,,,,,,
,,,2016, 0.0091 , 0.0029 ,,,,,,,,,,,,,,,,,,,,,,
,,,2017, 0.0084 , 0.0018 ,,,,,,,,,,,,,,,,,,,,,,
,,,2018, 0.0081 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2019, 0.0080 , 0.0013 ,,,,,,,,,,,,,,,,,,,,,,
,,,2020, 0.0079 , 0.0012 ,,,,,,,,,,,,,,,,,,,,,,
,,,2021, 0.0079 , 0.0012 ,,,,,,,,,,,,,,,,,,,,,,
,,,2022, 0.0079 , 0.0012 ,,,,,,,,,,,,,,,,,,,,,,
,,Gasoline Heavy-Duty Vehicles, ≤1980, 0.4604 , 0.0497 ,,,,,,,,,,,,,,,,,,,,,,
,,,1981-1984, 0.4492 , 0.0538 ,,,,,,,,,,,,,,,,,,,,,,
,,,1985-1986, 0.4090 , 0.0515 ,,,,,,,,,,,,,,,,,,,,,,
,,,1987, 0.3675 , 0.0849 ,,,,,,,,,,,,,,,,,,,,,,
,,,1988-1989, 0.3492 , 0.0933 ,,,,,,,,,,,,,,,,,,,,,,
,,,1990-1995, 0.3246 , 0.1142 ,,,,,,,,,,,,,,,,,,,,,,
,,,1996, 0.1278 , 0.1680 ,,,,,,,,,,,,,,,,,,,,,,
,,,1997, 0.0924 , 0.1726 ,,,,,,,,,,,,,,,,,,,,,,
,,,1998, 0.0655 , 0.1750 ,,,,,,,,,,,,,,,,,,,,,,
,,,1999, 0.0648 , 0.1724 ,,,,,,,,,,,,,,,,,,,,,,
,,,2000, 0.0630 , 0.1660 ,,,,,,,,,,,,,,,,,,,,,,
,,,2001, 0.0577 , 0.1468 ,,,,,,,,,,,,,,,,,,,,,,
,,,2002, 0.0634 , 0.1673 ,,,,,,,,,,,,,,,,,,,,,,
,,,2003, 0.0602 , 0.1553 ,,,,,,,,,,,,,,,,,,,,,,
,,,2004, 0.0298 , 0.0164 ,,,,,,,,,,,,,,,,,,,,,,
,,,2005, 0.0297 , 0.0083 ,,,,,,,,,,,,,,,,,,,,,,
,,,2006, 0.0299 , 0.0241 ,,,,,,,,,,,,,,,,,,,,,,
,,,2007, 0.0322 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2008, 0.0340 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2009, 0.0339 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2010, 0.0320 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2011, 0.0304 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2012, 0.0313 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2013, 0.0313 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2014, 0.0315 , 0.0015 ,,,,,,,,,,,,,,,,,,,,,,
,,,2015, 0.0332 , 0.0021 ,,,,,,,,,,,,,,,,,,,,,,
,,,2016, 0.0321 , 0.0061 ,,,,,,,,,,,,,,,,,,,,,,
,,,2017, 0.0329 , 0.0084 ,,,,,,,,,,,,,,,,,,,,,,
,,,2018, 0.0326 , 0.0082 ,,,,,,,,,,,,,,,,,,,,,,
,,,2019, 0.0330 , 0.0091 ,,,,,,,,,,,,,,,,,,,,,,
,,,2020, 0.0332 , 0.0100 ,,,,,,,,,,,,,,,,,,,,,,
,,,2021, 0.0332 , 0.0100 ,,,,,,,,,,,,,,,,,,,,,,
,,,2022, 0.0332 , 0.0100 ,,,,,,,,,,,,,,,,,,,,,,
,,Gasoline Motorcycles, 1960-1995 , 0.0090 , 0.0900 ,,,,,,,,,,,,,,,,,,,,,,
,,, 1996-2005, 0.0070 , 0.0670 ,,,,,,,,,,,,,,,,,,,,,,
,,, 2006-2022, 0.0180 , 0.0660 ,,,,,,,,,,,,,,,,,,,,,,
,,Source: EPA (2024) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2022 (Annexes). All values are calculated from Tables A-79 through A-83.,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.epa.gov/ghgemissions/inventory-us-greenhouse-gas-emissions-and-sinks,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Notes: 
The factors represented in the table above represent combustion emissions only (tank-to-wheel) and do not represent upstream emissions or well-to-wheel emissions.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 4,    Mobile Combustion CH4 and N2O for On-Road Diesel and Alternative Fuel Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vehicle Type,Fuel Type,Model Year,"CH4 Factor 
(g CH4 / vehicle-mile)","N2O Factor 
(g N2O / vehicle-mile)",,,,,,,,,,,,,,,,,,,,,
,,Passenger Cars,Diesel,1960-1982, 0.0006 , 0.0012 ,,,,,,,,,,,,,,,,,,,,,
,,,,1983-2006, 0.0005 , 0.0010 ,,,,,,,,,,,,,,,,,,,,,
,,,,2007-2022, 0.0302 , 0.0192 ,,,,,,,,,,,,,,,,,,,,,
,,Light-Duty Trucks,Diesel,1960-1982, 0.0011 , 0.0017 ,,,,,,,,,,,,,,,,,,,,,
,,,,1983-2006, 0.0009 , 0.0014 ,,,,,,,,,,,,,,,,,,,,,
,,,,2007-2022, 0.0290 , 0.0214 ,,,,,,,,,,,,,,,,,,,,,
